build	component	file	expected_sha256	observed_sha256	status	rows_expected	rows_observed	differing_numeric_cells	max_absolute_difference
A	cellbench	PAIRED_LIBRARY_LONG.tsv	55e3fd3eb4acb4766f98a9b32f1df54e072482801a3bcb2cdff7f926311d2286	6360c32594e2745e8bb78d56c64f8537e01471daaf41fb8e8f298edc2ee3d6e6	NUMERIC_MATCH_WITH_DECLARED_ROUNDOFF	461880	461880	39786	1.0436096431476471e-14
A	cellbench	PAIRED_STRATUM.tsv	79bb560332a1bb1bf737b1c6a3d07d0732053f9aba1e69d37928f17aa9fa7ccd	891d808bc06da3db3c5e805888be77fae82bbeaf086d443f591b842fa4d67eae	NUMERIC_MATCH_WITH_DECLARED_ROUNDOFF	40320	40320	3890	1.9984014443252818e-15
A	cellbench	PAIRED_COMPOSITION.tsv	6918862ee3ac9f49f91138af0d59dcffc6b5567a05566939432ab07d62005606	6adb6240875750c83ac595f09317aa6ce142966d24c96239adb11765ef9036fe	NUMERIC_MATCH_WITH_DECLARED_ROUNDOFF	10080	10080	964	1.304512053934559e-15
A	cellbench	PAIRED_SUMMARY.tsv	77055b8e83a7294c509c1856185c3bf72fd3ba7538d212a5d8ff25a9e591e960	a4002d1210ce8be969a94c78adf2289348dfbf80c272b4b53de2dbfbf83f2b17	NUMERIC_MATCH_WITH_DECLARED_ROUNDOFF	1440	1440	913	1.2073675392798577e-15
A	cellbench	PROJECTION_COMPOSITION_SUMMARY.tsv	59aa7e2ebc00f405229aa704c24180b5639dfb4338f3560541ea3626d5ce61f4	59aa7e2ebc00f405229aa704c24180b5639dfb4338f3560541ea3626d5ce61f4	BYTE_IDENTICAL	870	870	0	0.0
A	cellbench	DRIFT_AND_PROJECTION_SUMMARY.tsv	538498e597abe13b0bc3ddc22c14918d86bb3d157503aa090f31878e6b3e1a96	538498e597abe13b0bc3ddc22c14918d86bb3d157503aa090f31878e6b3e1a96	BYTE_IDENTICAL	348	348	0	0.0
A	cellbench	DRIFT_PROJECTION_PAIRED_LONG.tsv	29a4aa118e582ac852e5966e7fe8c159330d6bb7e54f3fabb08cbd6539dea31b	29a4aa118e582ac852e5966e7fe8c159330d6bb7e54f3fabb08cbd6539dea31b	BYTE_IDENTICAL	905760	905760	0	0.0
A	diagnostics	ALL_PARAMETER_DIAGNOSTICS.tsv	1ee34c542bf989be33e08c6aa5b49adcbd08e1b57c1200236e0084ed42cae0eb	1ee34c542bf989be33e08c6aa5b49adcbd08e1b57c1200236e0084ed42cae0eb	BYTE_IDENTICAL	163680	163680	0	0.0
A	diagnostics	CHAIN_EXECUTION_INVENTORY.tsv	74cd0a754978d8aee842bf81074adbcb8234f7b5c2d143966d0ffa8c86427229	74cd0a754978d8aee842bf81074adbcb8234f7b5c2d143966d0ffa8c86427229	BYTE_IDENTICAL	1920	1920	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r001__s1__DEFAULT.tsv	2d213becb64ca81c48adb1c8686c5bbc4093b176c60f0941afedec166e258c2a	2d213becb64ca81c48adb1c8686c5bbc4093b176c60f0941afedec166e258c2a	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r001__s1__LONG.tsv	43a686dfce5d75c7227d8f248bc867bf3bf647ba734ad32f2fb769d9e88fad7d	43a686dfce5d75c7227d8f248bc867bf3bf647ba734ad32f2fb769d9e88fad7d	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r001__s2__DEFAULT.tsv	b1516a230376cdb6c3e312bb845bfb33b0d39718b1befa506ea76f7667699147	b1516a230376cdb6c3e312bb845bfb33b0d39718b1befa506ea76f7667699147	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r001__s2__LONG.tsv	3fac1f6a88e09170cb0b490dffd695f0ac2b99b410985f412bb0cc4b46349650	3fac1f6a88e09170cb0b490dffd695f0ac2b99b410985f412bb0cc4b46349650	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r002__s1__DEFAULT.tsv	0c2f83e09aeeae009177c601762fae03ad785e822c500e52e7aac42d221964b7	0c2f83e09aeeae009177c601762fae03ad785e822c500e52e7aac42d221964b7	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r002__s1__LONG.tsv	07b6e3d76deac4ceedca4dca43a432eccde9a151727ccb0a3f70c9e9eb010cb1	07b6e3d76deac4ceedca4dca43a432eccde9a151727ccb0a3f70c9e9eb010cb1	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r002__s2__DEFAULT.tsv	84136980b56de84a92d97eb4b3c7e82a3aa6b52dfa58c0d5d1afdb60c50495ae	84136980b56de84a92d97eb4b3c7e82a3aa6b52dfa58c0d5d1afdb60c50495ae	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__composition_only__r002__s2__LONG.tsv	dd9a170ddfb0542dd91e97ddec26569a1951ca7cf81f9822a6c9a660d0c4c2ed	dd9a170ddfb0542dd91e97ddec26569a1951ca7cf81f9822a6c9a660d0c4c2ed	BYTE_IDENTICAL	6820	6820	0	0.0
